速度,機車,汽車,大客車,大貨車,小貨車
5,751.3381,1202.0358,4467.1354,1300.1738,1181.958
6,629.3296,1006.0101,3751.675,1159.9938,1021.8106
7,542.1768,870.8867,3265.4594,1059.8652,907.4196
8,476.825,773.3315,2918.2298,984.7688,821.6264
9,426.0211,700.3759,2660.0728,926.3604,754.8983
10,385.4127,644.2384,2461.2475,879.6337,701.5159
11,352.2294,599.9713,2303.0164,841.4028,657.8393
12,324.6239,564.2827,2173.0604,809.5437,621.4422
13,301.3167,534.903,2063.0105,782.586,590.6446
14,281.3937,510.2214,1967.0368,759.4794,564.2467
15,264.184,489.0687,1881.0022,739.4537,541.3685
16,249.184,470.5804,1801.9333,721.9312,521.3501
17,236.0085,454.1085,1727.6785,706.4702,503.6868
18,224.3572,439.1623,1656.6792,692.727,487.986
19,213.9931,425.3678,1587.8142,680.4305,473.938
20,204.726,412.4389,1520.2901,669.3637,461.2948
21,196.4019,400.157,1453.5633,659.3508,449.8557
22,188.8943,388.3561,1387.2832,650.2482,439.4565
23,182.0986,376.9111,1321.2504,641.9372,429.9616
24,175.9274,365.7295,1255.3851,634.3187,421.258
25,170.307,354.745,1189.703,627.3097,413.2506
26,165.1747,343.912,1124.2972,620.8398,405.8592
27,160.4771,333.2019,1059.3239,614.8492,399.0153
28,156.1681,322.5993,994.9907,609.2865,392.6602
29,152.2077,312.1001,931.5483,604.1075,386.7435
30,148.5611,301.7086,869.283,599.2737,381.2211
31,145.1978,291.4363,808.5108,594.7517,376.0551
32,142.0909,281.2998,749.5734,590.5124,371.2119
33,139.2167,271.3204,692.8335,586.53,366.6623
34,136.554,261.5221,638.6722,582.7819,362.3803
35,134.0839,251.9313,587.4863,579.248,358.3429
36,131.7893,242.5761,539.6861,575.9103,354.5299
37,129.655,233.4851,495.6935,572.7531,350.923
38,127.6672,224.6874,455.9406,569.7621,347.5059
39,125.8133,216.2119,420.8681,566.9244,344.264
40,124.0817,208.0868,390.9249,564.2287,341.1843
41,122.4621,200.3397,366.5661,561.6644,338.2548
42,120.9448,192.9966,348.2532,559.2222,335.4647
43,119.5209,186.0823,336.4529,556.8937,332.8045
44,118.1822,179.62,331.6365,554.6709,330.2652
45,116.9212,173.6311,334.2794,552.547,327.8387
46,115.7307,168.1352,344.8608,550.5154,325.5177
47,114.6042,163.15,363.8633,548.5703,323.2955
48,113.5356,158.6911,391.7724,546.7062,321.1659
49,112.5189,154.7725,429.0762,544.9182,319.1232
50,111.5489,151.4059,476.2652,543.2017,317.1622
